year,city,price_per_sqft
2023,MERCER ISLAND,1062.2971935924825
2000,MILTON,106.54862875931029
2001,MILTON,112.59976371306622
2002,MILTON,116.27683907551432
2003,MILTON,125.53385117440499
2004,MILTON,132.3670615241501
2005,MILTON,155.47159746804593
2006,MILTON,179.5851198059602
2007,MILTON,180.44302472507889
2008,MILTON,170.33296967306234
2009,MILTON,151.63614752313893
2010,MILTON,131.18609924022908
2011,MILTON,128.1198732287903
2012,MILTON,118.34589801952262
2013,MILTON,142.38454191339918
2014,MILTON,142.7941266022106
2015,MILTON,164.50689711792617
2016,MILTON,180.19279377320947
2017,MILTON,190.50200972719105
2018,MILTON,219.6477068762061
2019,MILTON,229.50350953690432
2020,MILTON,236.18573210656837
2021,MILTON,307.9398320333231
2022,MILTON,364.1168215680833
2023,MILTON,325.8937876926172
2000,NEWCASTLE,151.85917972743047
2001,NEWCASTLE,160.11927291026416
2002,NEWCASTLE,167.1236839445675
2003,NEWCASTLE,169.99788546067515
2004,NEWCASTLE,194.84804822381633
2005,NEWCASTLE,219.09472729703168
2006,NEWCASTLE,259.2672078906231
2007,NEWCASTLE,273.1230733838792
2008,NEWCASTLE,242.4989688450415
2009,NEWCASTLE,216.17865686009816
2010,NEWCASTLE,205.96085465318075
2011,NEWCASTLE,192.9104353492173
2012,NEWCASTLE,202.68936895336918
2013,NEWCASTLE,223.50001829403308
2014,NEWCASTLE,248.22528344422457
2015,NEWCASTLE,266.555293072308
2016,NEWCASTLE,286.23198531873646
2017,NEWCASTLE,325.3162615579405
2018,NEWCASTLE,354.1046793203165
2019,NEWCASTLE,370.7301409187814
2020,NEWCASTLE,391.9122592928761
2021,NEWCASTLE,478.734039217813
2022,NEWCASTLE,612.1152371785838
2023,NEWCASTLE,544.7279931636259
2000,NORMANDY PARK,142.10274108923127
2001,NORMANDY PARK,146.3575595226702
2002,NORMANDY PARK,163.85754158386206
2003,NORMANDY PARK,164.72623868444055
2004,NORMANDY PARK,186.81076359619482
2005,NORMANDY PARK,216.76121331657933
2006,NORMANDY PARK,260.8559252403676
2007,NORMANDY PARK,273.4074218716628
2008,NORMANDY PARK,249.53517231322164
2009,NORMANDY PARK,208.61887652861702
2010,NORMANDY PARK,221.67206838575572
2011,NORMANDY PARK,200.1074094907475
2012,NORMANDY PARK,182.6664075464456
2013,NORMANDY PARK,201.07546247852602
2014,NORMANDY PARK,229.83688848143987
2015,NORMANDY PARK,224.98817572096831
2016,NORMANDY PARK,247.1888840932338
2017,NORMANDY PARK,280.73571793628344
2018,NORMANDY PARK,327.7929249980432
2019,NORMANDY PARK,337.2889630414838
2020,NORMANDY PARK,344.73051841031827
2021,NORMANDY PARK,416.16435104276496
2022,NORMANDY PARK,464.3615968721276
2023,NORMANDY PARK,436.824503371173
2000,NORTH BEND,144.13733234390637
2001,NORTH BEND,146.59567878188534
2002,NORTH BEND,155.16281103681834
2003,NORTH BEND,166.47119940363666
2004,NORTH BEND,176.88620798508387
2005,NORTH BEND,194.83411794304504
2006,NORTH BEND,234.5756603906303
2007,NORTH BEND,243.53422590422187
2008,NORTH BEND,232.66634027827078
2009,NORTH BEND,203.01935066134212
2010,NORTH BEND,184.92372061624334
2011,NORTH BEND,164.16693607758512
2012,NORTH BEND,170.03139752341207
2013,NORTH BEND,183.53740184239484
2014,NORTH BEND,194.71556782456923
2015,NORTH BEND,218.0299135425329
2016,NORTH BEND,247.88974886081647
2017,NORTH BEND,274.09618958988625
2018,NORTH BEND,303.78249494959823
2019,NORTH BEND,297.07254835791616
2020,NORTH BEND,318.0142260121472
2021,NORTH BEND,379.89656145434014
2022,NORTH BEND,465.1936865828443
2023,NORTH BEND,454.534489767562
2000,PACIFIC,107.10525610233125
2001,PACIFIC,113.61631531763139
2002,PACIFIC,122.64024749199257
2003,PACIFIC,125.12262204233036
2004,PACIFIC,138.07285100468383
2005,PACIFIC,156.78164328136972
2006,PACIFIC,178.00822880608985
2007,PACIFIC,191.26322274444095
2008,PACIFIC,180.20172717547578
2009,PACIFIC,153.66089292421938
2010,PACIFIC,141.599379388548
2011,PACIFIC,109.51474698772378
2012,PACIFIC,113.82977689628244
2013,PACIFIC,133.6887634600001
2014,PACIFIC,141.9854636803603
2015,PACIFIC,153.32652431648162
2016,PACIFIC,181.47084948674978
2017,PACIFIC,191.46213380301944
2018,PACIFIC,217.74579524002027
2019,PACIFIC,235.85030628442615
2020,PACIFIC,245.66030840571688
2021,PACIFIC,326.6140169408603
2022,PACIFIC,346.0697928257592
2023,PACIFIC,336.7727640907878
2000,REDMOND,150.63515902478954
2001,REDMOND,158.94878643488147
2002,REDMOND,165.24007362321657
2003,REDMOND,170.79341829543287
2004,REDMOND,190.20223812309845
2005,REDMOND,218.79413367060013
2006,REDMOND,258.6049631978571
2007,REDMOND,273.23473311000043
2008,REDMOND,263.18391174680306
2009,REDMOND,232.7053705381285
2010,REDMOND,236.49454002169355
2011,REDMOND,214.07486072217034
2012,REDMOND,222.98525049787239
2013,REDMOND,254.88903585599266
2014,REDMOND,269.78138332333583
2015,REDMOND,300.7464564005178
2016,REDMOND,343.3184614212288
2017,REDMOND,394.55308892476626
2018,REDMOND,436.57209809839395
2019,REDMOND,441.6691072187289
2020,REDMOND,482.47827166606874
2021,REDMOND,631.482885649345
2022,REDMOND,715.0809532466058
2023,REDMOND,689.8553308387782
2000,RENTON,126.22298267804267
2001,RENTON,130.23874451270026
2002,RENTON,135.32053053313544
2003,RENTON,144.13655885318795
2004,RENTON,156.386956226937
2005,RENTON,361.01443417912094
2006,RENTON,207.46426945142116
2007,RENTON,219.337030026936
2008,RENTON,204.2354698123807
2009,RENTON,175.99690206598078
2010,RENTON,171.94778936982922
